tile,tp,fp,fn,tn,iou,precision,recall,f1
chimanimani_s2_126.h5,258,1537,16,14573,0.1425,0.1437,0.9416,0.2494
chimanimani_s2_1019.h5,87,1534,7,14756,0.0534,0.0537,0.9255,0.1015
chimanimani_s2_1019.h5,1036,376,1158,13814,0.4031,0.7337,0.4722,0.5746
chimanimani_s2_126.h5,73,633,897,14781,0.0455,0.1034,0.0753,0.0871
chimanimani_s2_1390.h5,281,1474,52,14577,0.1555,0.1601,0.8438,0.2692
chimanimani_s2_1295.h5,0,1515,7,14862,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,403,722,795,14464,0.2099,0.3582,0.3364,0.3470
chimanimani_s2_1264.h5,57,1252,259,14816,0.0364,0.0435,0.1804,0.0702
chimanimani_s2_1264.h5,73,1497,10,14804,0.0462,0.0465,0.8795,0.0883
chimanimani_s2_1223.h5,66,2,1502,14814,0.0420,0.9706,0.0421,0.0807
chimanimani_s2_1222.h5,393,746,747,14498,0.2084,0.3450,0.3447,0.3449
chimanimani_s2_1295.h5,1112,1279,204,13789,0.4285,0.4651,0.8450,0.5999
chimanimani_s2_1222.h5,216,45,1437,14686,0.1272,0.8276,0.1307,0.2257
chimanimani_s2_1041.h5,608,984,486,14306,0.2926,0.3819,0.5558,0.4527
chimanimani_s2_1019.h5,48,1458,8,14870,0.0317,0.0319,0.8571,0.0615
chimanimani_s2_126.h5,66,1431,34,14853,0.0431,0.0441,0.6600,0.0827
chimanimani_s2_1264.h5,0,1453,0,14931,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_126.h5,36,1451,2,14895,0.0242,0.0242,0.9474,0.0472
chimanimani_s2_126.h5,6705,113,1339,8227,0.8220,0.9834,0.8335,0.9023
chimanimani_s2_1222.h5,188,363,1087,14746,0.1148,0.3412,0.1475,0.2059
chimanimani_s2_126.h5,214,1397,45,14728,0.1292,0.1328,0.8263,0.2289
chimanimani_s2_1295.h5,42,0,1432,14910,0.0285,1.0000,0.0285,0.0554
chimanimani_s2_1223.h5,48,1355,71,14910,0.0326,0.0342,0.4034,0.0631
chimanimani_s2_1041.h5,358,1207,212,14607,0.2015,0.2288,0.6281,0.3354
chimanimani_s2_1223.h5,285,1256,157,14686,0.1678,0.1849,0.6448,0.2874
chimanimani_s2_1295.h5,647,1367,26,14344,0.3172,0.3213,0.9614,0.4816
chimanimani_s2_126.h5,52,1270,120,14942,0.0361,0.0393,0.3023,0.0696
chimanimani_s2_1264.h5,583,760,625,14416,0.2962,0.4341,0.4826,0.4571
chimanimani_s2_1222.h5,462,3,1374,14545,0.2512,0.9935,0.2516,0.4016
chimanimani_s2_1390.h5,0,1375,0,15009,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1390.h5,0,1360,5,15019,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,482,734,630,14538,0.2611,0.3964,0.4335,0.4141
chimanimani_s2_1264.h5,269,606,752,14757,0.1653,0.3074,0.2635,0.2838
chimanimani_s2_1390.h5,386,453,904,14641,0.2215,0.4601,0.2992,0.3626
chimanimani_s2_1019.h5,195,132,1221,14836,0.1260,0.5963,0.1377,0.2238
chimanimani_s2_1295.h5,357,417,934,14676,0.2090,0.4612,0.2765,0.3458
chimanimani_s2_1222.h5,136,455,891,14902,0.0918,0.2301,0.1324,0.1681
chimanimani_s2_1223.h5,248,212,1134,14790,0.1556,0.5391,0.1795,0.2693
chimanimani_s2_1390.h5,222,17,1312,14833,0.1431,0.9289,0.1447,0.2504
chimanimani_s2_1019.h5,829,843,484,14228,0.3845,0.4958,0.6314,0.5554
chimanimani_s2_1264.h5,1434,580,736,13634,0.5215,0.7120,0.6608,0.6855
chimanimani_s2_1390.h5,0,1314,0,15070,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,80,275,1035,14994,0.0576,0.2254,0.0717,0.1088
chimanimani_s2_1295.h5,37,1276,32,15039,0.0275,0.0282,0.5362,0.0535
chimanimani_s2_1019.h5,16,1267,33,15068,0.0122,0.0125,0.3265,0.0240
chimanimani_s2_1223.h5,547,1099,178,14560,0.2999,0.3323,0.7545,0.4614
chimanimani_s2_126.h5,294,136,1140,14814,0.1873,0.6837,0.2050,0.3155
chimanimani_s2_1295.h5,101,1204,67,15012,0.0736,0.0774,0.6012,0.1371
chimanimani_s2_1295.h5,21,0,1271,15092,0.0163,1.0000,0.0163,0.0320
chimanimani_s2_1390.h5,141,1182,83,14978,0.1003,0.1066,0.6295,0.1823
chimanimani_s2_1223.h5,162,1149,100,14973,0.1148,0.1236,0.6183,0.2060
chimanimani_s2_1019.h5,504,929,315,14636,0.2883,0.3517,0.6154,0.4476
chimanimani_s2_1295.h5,137,10,1233,15004,0.0993,0.9320,0.1000,0.1806
chimanimani_s2_126.h5,365,396,841,14782,0.2278,0.4796,0.3027,0.3711
chimanimani_s2_1041.h5,269,877,355,14883,0.1792,0.2347,0.4311,0.3040
chimanimani_s2_1019.h5,0,1220,6,15158,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,3,4,1217,15160,0.0025,0.4286,0.0025,0.0049
chimanimani_s2_1223.h5,0,1091,129,15164,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,69,946,271,15098,0.0537,0.0680,0.2029,0.1018
chimanimani_s2_1019.h5,21,1062,155,15146,0.0170,0.0194,0.1193,0.0334
chimanimani_s2_1390.h5,0,1042,170,15172,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1295.h5,0,1149,61,15174,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1390.h5,304,961,246,14873,0.2012,0.2403,0.5527,0.3350
chimanimani_s2_1041.h5,108,0,1207,15069,0.0821,1.0000,0.0821,0.1518
chimanimani_s2_126.h5,718,688,518,14460,0.3732,0.5107,0.5809,0.5435
chimanimani_s2_1264.h5,0,1205,0,15179,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,2929,899,296,12260,0.7102,0.7652,0.9082,0.8306
chimanimani_s2_126.h5,124,623,563,15074,0.0947,0.1660,0.1805,0.1729
chimanimani_s2_1041.h5,125,0,1184,15075,0.0955,1.0000,0.0955,0.1743
chimanimani_s2_1223.h5,381,6,1170,14827,0.2447,0.9845,0.2456,0.3932
chimanimani_s2_1223.h5,1368,405,767,13844,0.5386,0.7716,0.6407,0.7001
chimanimani_s2_1264.h5,1172,10,1159,14043,0.5006,0.9915,0.5028,0.6672
chimanimani_s2_1264.h5,2,1160,0,15222,0.0017,0.0017,1.0000,0.0034
chimanimani_s2_1223.h5,0,1156,0,15228,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,238,876,278,14992,0.1710,0.2136,0.4612,0.2920
chimanimani_s2_1223.h5,425,668,481,14810,0.2700,0.3888,0.4691,0.4252
chimanimani_s2_1041.h5,9,1108,26,15241,0.0079,0.0081,0.2571,0.0156
chimanimani_s2_1295.h5,899,673,457,14355,0.4431,0.5719,0.6630,0.6141
chimanimani_s2_1390.h5,457,350,778,14799,0.2883,0.5663,0.3700,0.4476
chimanimani_s2_1295.h5,259,954,162,15009,0.1884,0.2135,0.6152,0.3170
chimanimani_s2_1295.h5,32,87,1029,15236,0.0279,0.2689,0.0302,0.0542
chimanimani_s2_1222.h5,17,1033,76,15258,0.0151,0.0162,0.1828,0.0297
chimanimani_s2_1295.h5,354,256,851,14923,0.2423,0.5803,0.2938,0.3901
chimanimani_s2_126.h5,50,969,136,15229,0.0433,0.0491,0.2688,0.0830
chimanimani_s2_1222.h5,151,701,403,15129,0.1203,0.1772,0.2726,0.2148
chimanimani_s2_1264.h5,58,844,259,15223,0.0500,0.0643,0.1830,0.0952
chimanimani_s2_1019.h5,112,983,110,15179,0.0929,0.1023,0.5045,0.1701
chimanimani_s2_126.h5,392,751,335,14906,0.2652,0.3430,0.5392,0.4193
chimanimani_s2_1041.h5,0,1085,0,15299,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,180,0,1082,15122,0.1426,1.0000,0.1426,0.2497
chimanimani_s2_1019.h5,1,1007,70,15306,0.0009,0.0010,0.0141,0.0019
chimanimani_s2_1295.h5,719,146,925,14594,0.4017,0.8312,0.4373,0.5731
chimanimani_s2_1223.h5,142,775,292,15175,0.1175,0.1549,0.3272,0.2102
chimanimani_s2_1295.h5,141,396,663,15184,0.1175,0.2626,0.1754,0.2103
chimanimani_s2_1390.h5,435,598,458,14893,0.2918,0.4211,0.4871,0.4517
chimanimani_s2_1264.h5,28,538,515,15303,0.0259,0.0495,0.0516,0.0505
chimanimani_s2_1295.h5,112,839,214,15219,0.0961,0.1178,0.3436,0.1754
chimanimani_s2_1222.h5,96,1039,11,15238,0.0838,0.0846,0.8972,0.1546
chimanimani_s2_1264.h5,141,921,125,15197,0.1188,0.1328,0.5301,0.2123
chimanimani_s2_126.h5,591,411,618,14764,0.3648,0.5898,0.4888,0.5346
chimanimani_s2_1223.h5,40,780,243,15321,0.0376,0.0488,0.1413,0.0725
chimanimani_s2_126.h5,47,650,372,15315,0.0440,0.0674,0.1122,0.0842
chimanimani_s2_1019.h5,118,625,393,15248,0.1039,0.1588,0.2309,0.1882
chimanimani_s2_126.h5,0,1013,3,15368,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,7,776,219,15382,0.0070,0.0089,0.0310,0.0139
chimanimani_s2_1041.h5,93,756,236,15299,0.0857,0.1095,0.2827,0.1579
chimanimani_s2_1019.h5,109,972,17,15286,0.0993,0.1008,0.8651,0.1806
chimanimani_s2_1019.h5,195,274,709,15206,0.1655,0.4158,0.2157,0.2840
chimanimani_s2_1041.h5,434,591,379,14980,0.3091,0.4234,0.5338,0.4723
chimanimani_s2_1390.h5,158,267,689,15270,0.1418,0.3718,0.1865,0.2484
chimanimani_s2_1041.h5,0,954,0,15430,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,135,0,949,15300,0.1245,1.0000,0.1245,0.2215
chimanimani_s2_1019.h5,53,943,0,15388,0.0532,0.0532,1.0000,0.1010
chimanimani_s2_1390.h5,58,563,374,15389,0.0583,0.0934,0.1343,0.1102
chimanimani_s2_1264.h5,75,0,927,15382,0.0749,1.0000,0.0749,0.1393
chimanimani_s2_1295.h5,247,9,918,15210,0.2104,0.9648,0.2120,0.3476
chimanimani_s2_1390.h5,23,312,612,15437,0.0243,0.0687,0.0362,0.0474
chimanimani_s2_1041.h5,452,919,2,15011,0.3292,0.3297,0.9956,0.4953
chimanimani_s2_1295.h5,73,364,556,15391,0.0735,0.1670,0.1161,0.1370
chimanimani_s2_1041.h5,99,193,706,15386,0.0992,0.3390,0.1230,0.1805
chimanimani_s2_1264.h5,186,648,247,15303,0.1721,0.2230,0.4296,0.2936
chimanimani_s2_1019.h5,705,533,361,14785,0.4409,0.5695,0.6614,0.6120
chimanimani_s2_1041.h5,167,527,367,15323,0.1574,0.2406,0.3127,0.2720
chimanimani_s2_1222.h5,0,882,9,15493,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,78,722,168,15416,0.0806,0.0975,0.3171,0.1491
chimanimani_s2_1041.h5,0,889,0,15495,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,62,770,111,15441,0.0657,0.0745,0.3584,0.1234
chimanimani_s2_1390.h5,11,861,19,15493,0.0123,0.0126,0.3667,0.0244
chimanimani_s2_1264.h5,0,875,0,15509,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,0,567,294,15523,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,330,5,856,15193,0.2771,0.9851,0.2782,0.4339
chimanimani_s2_1295.h5,12,0,860,15512,0.0138,1.0000,0.0138,0.0271
chimanimani_s2_1041.h5,8,0,860,15516,0.0092,1.0000,0.0092,0.0183
chimanimani_s2_1222.h5,0,823,36,15525,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,0,856,0,15528,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,41,645,208,15490,0.0459,0.0598,0.1647,0.0877
chimanimani_s2_1222.h5,63,626,226,15469,0.0689,0.0914,0.2180,0.1288
chimanimani_s2_1264.h5,100,726,126,15432,0.1050,0.1211,0.4425,0.1901
chimanimani_s2_1019.h5,40,530,322,15492,0.0448,0.0702,0.1105,0.0858
chimanimani_s2_126.h5,106,824,27,15427,0.1108,0.1140,0.7970,0.1994
chimanimani_s2_1222.h5,2949,89,761,12585,0.7763,0.9707,0.7949,0.8740
chimanimani_s2_1041.h5,152,15,835,15382,0.1517,0.9102,0.1540,0.2634
chimanimani_s2_1390.h5,466,12,836,15070,0.3546,0.9749,0.3579,0.5236
chimanimani_s2_1264.h5,161,689,152,15382,0.1607,0.1894,0.5144,0.2769
chimanimani_s2_1222.h5,176,20,813,15375,0.1744,0.8980,0.1780,0.2970
chimanimani_s2_1041.h5,0,824,9,15551,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,51,0,815,15518,0.0589,1.0000,0.0589,0.1112
chimanimani_s2_126.h5,297,432,380,15275,0.2678,0.4074,0.4387,0.4225
chimanimani_s2_1019.h5,26,787,25,15546,0.0310,0.0320,0.5098,0.0602
chimanimani_s2_1223.h5,60,687,122,15515,0.0690,0.0803,0.3297,0.1292
chimanimani_s2_126.h5,204,12,796,15372,0.2016,0.9444,0.2040,0.3355
chimanimani_s2_1390.h5,27,756,50,15551,0.0324,0.0345,0.3506,0.0628
chimanimani_s2_1390.h5,0,794,0,15590,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,63,10,783,15528,0.0736,0.8630,0.0745,0.1371
chimanimani_s2_126.h5,115,63,726,15480,0.1272,0.6461,0.1367,0.2257
chimanimani_s2_1041.h5,41,15,773,15555,0.0495,0.7321,0.0504,0.0943
chimanimani_s2_1390.h5,28,749,38,15569,0.0344,0.0360,0.4242,0.0664
chimanimani_s2_1390.h5,15,770,9,15590,0.0189,0.0191,0.6250,0.0371
chimanimani_s2_1264.h5,60,305,472,15547,0.0717,0.1644,0.1128,0.1338
chimanimani_s2_1390.h5,385,145,632,15222,0.3313,0.7264,0.3786,0.4977
chimanimani_s2_1390.h5,559,11,763,15051,0.4194,0.9807,0.4228,0.5909
chimanimani_s2_126.h5,0,715,55,15614,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1390.h5,403,644,125,15212,0.3439,0.3849,0.7633,0.5117
chimanimani_s2_1223.h5,83,210,559,15532,0.0974,0.2833,0.1293,0.1775
chimanimani_s2_1041.h5,231,642,125,15386,0.2315,0.2646,0.6489,0.3759
chimanimani_s2_1041.h5,0,9,756,15619,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,3,755,7,15619,0.0039,0.0040,0.3000,0.0078
chimanimani_s2_126.h5,30,492,269,15593,0.0379,0.0575,0.1003,0.0731
chimanimani_s2_1295.h5,92,0,761,15531,0.1079,1.0000,0.1079,0.1947
chimanimani_s2_1041.h5,0,760,0,15624,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,104,425,334,15521,0.1205,0.1966,0.2374,0.2151
chimanimani_s2_1223.h5,330,254,505,15295,0.3030,0.5651,0.3952,0.4651
chimanimani_s2_1264.h5,0,748,0,15636,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,148,0,743,15493,0.1661,1.0000,0.1661,0.2849
chimanimani_s2_1223.h5,56,0,743,15585,0.0701,1.0000,0.0701,0.1310
chimanimani_s2_1019.h5,331,235,507,15311,0.3085,0.5848,0.3950,0.4715
chimanimani_s2_1264.h5,107,493,249,15535,0.1260,0.1783,0.3006,0.2238
chimanimani_s2_1295.h5,88,485,256,15555,0.1062,0.1536,0.2558,0.1919
chimanimani_s2_1041.h5,162,660,79,15483,0.1798,0.1971,0.6722,0.3048
chimanimani_s2_1222.h5,87,125,614,15558,0.1053,0.4104,0.1241,0.1906
chimanimani_s2_1223.h5,245,390,347,15402,0.2495,0.3858,0.4139,0.3993
chimanimani_s2_126.h5,248,21,715,15400,0.2520,0.9219,0.2575,0.4026
chimanimani_s2_1222.h5,3,577,158,15646,0.0041,0.0052,0.0186,0.0081
chimanimani_s2_1264.h5,25,0,732,15627,0.0330,1.0000,0.0330,0.0639
chimanimani_s2_1041.h5,344,521,208,15311,0.3206,0.3977,0.6232,0.4855
chimanimani_s2_126.h5,22,649,74,15639,0.0295,0.0328,0.2292,0.0574
chimanimani_s2_1264.h5,0,675,48,15661,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1390.h5,93,529,189,15573,0.1147,0.1495,0.3298,0.2058
chimanimani_s2_1019.h5,0,718,0,15666,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,114,171,546,15553,0.1372,0.4000,0.1727,0.2413
chimanimani_s2_126.h5,396,369,342,15277,0.3577,0.5176,0.5366,0.5269
chimanimani_s2_1041.h5,54,516,195,15619,0.0706,0.0947,0.2169,0.1319
chimanimani_s2_1019.h5,1229,100,606,14449,0.6351,0.9248,0.6698,0.7769
chimanimani_s2_1223.h5,0,251,454,15679,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,655,585,120,15024,0.4816,0.5282,0.8452,0.6501
chimanimani_s2_1223.h5,0,104,599,15681,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,321,690,12,15361,0.3138,0.3175,0.9640,0.4777
chimanimani_s2_1390.h5,53,495,207,15629,0.0702,0.0967,0.2038,0.1312
chimanimani_s2_126.h5,248,165,536,15435,0.2613,0.6005,0.3163,0.4144
chimanimani_s2_126.h5,40,599,101,15644,0.0541,0.0626,0.2837,0.1026
chimanimani_s2_1222.h5,158,0,693,15533,0.1857,1.0000,0.1857,0.3132
chimanimani_s2_1222.h5,401,205,483,15295,0.3682,0.6617,0.4536,0.5383
chimanimani_s2_1019.h5,3,626,61,15694,0.0043,0.0048,0.0469,0.0087
chimanimani_s2_1222.h5,0,686,0,15698,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1390.h5,5,683,2,15694,0.0072,0.0073,0.7143,0.0144
chimanimani_s2_1019.h5,30,17,668,15669,0.0420,0.6383,0.0430,0.0805
chimanimani_s2_1041.h5,0,682,0,15702,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,0,679,0,15705,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1390.h5,0,431,243,15710,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,45,2,672,15665,0.0626,0.9574,0.0628,0.1178
chimanimani_s2_1390.h5,33,425,243,15683,0.0471,0.0721,0.1196,0.0899
chimanimani_s2_1223.h5,60,44,621,15659,0.0828,0.5769,0.0881,0.1529
chimanimani_s2_1295.h5,421,448,212,15303,0.3895,0.4845,0.6651,0.5606
chimanimani_s2_1223.h5,263,148,508,15465,0.2862,0.6399,0.3411,0.4450
chimanimani_s2_1019.h5,0,634,9,15741,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,245,219,423,15497,0.2762,0.5280,0.3668,0.4329
chimanimani_s2_126.h5,33,575,63,15713,0.0492,0.0543,0.3437,0.0937
chimanimani_s2_1390.h5,0,633,0,15751,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,118,480,150,15636,0.1578,0.1973,0.4403,0.2725
chimanimani_s2_1041.h5,6,1,622,15755,0.0095,0.8571,0.0096,0.0189
chimanimani_s2_126.h5,39,2,617,15726,0.0593,0.9512,0.0595,0.1119
chimanimani_s2_1390.h5,0,555,61,15768,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,208,367,249,15560,0.2524,0.3617,0.4551,0.4031
chimanimani_s2_1019.h5,189,32,583,15580,0.2351,0.8552,0.2448,0.3807
chimanimani_s2_126.h5,128,153,461,15642,0.1725,0.4555,0.2173,0.2943
chimanimani_s2_126.h5,29,0,612,15743,0.0452,1.0000,0.0452,0.0866
chimanimani_s2_126.h5,91,13,599,15681,0.1294,0.8750,0.1319,0.2292
chimanimani_s2_1041.h5,25,3,607,15749,0.0394,0.8929,0.0396,0.0758
chimanimani_s2_1222.h5,36,565,44,15739,0.0558,0.0599,0.4500,0.1057
chimanimani_s2_1295.h5,114,223,386,15661,0.1577,0.3383,0.2280,0.2724
chimanimani_s2_1295.h5,686,227,380,15091,0.5305,0.7514,0.6435,0.6933
chimanimani_s2_1041.h5,21,468,138,15757,0.0335,0.0429,0.1321,0.0648
chimanimani_s2_1223.h5,0,445,159,15780,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,9,0,604,15771,0.0147,1.0000,0.0147,0.0289
chimanimani_s2_1019.h5,99,15,586,15684,0.1414,0.8684,0.1445,0.2478
chimanimani_s2_1019.h5,0,596,0,15788,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,0,81,513,15790,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_126.h5,585,202,391,15206,0.4966,0.7433,0.5994,0.6636
chimanimani_s2_1390.h5,0,577,15,15792,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,223,171,416,15574,0.2753,0.5660,0.3490,0.4318
chimanimani_s2_1222.h5,0,496,89,15799,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,0,0,585,15799,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,51,0,585,15748,0.0802,1.0000,0.0802,0.1485
chimanimani_s2_1295.h5,88,549,33,15714,0.1313,0.1381,0.7273,0.2322
chimanimani_s2_1390.h5,77,465,116,15726,0.1170,0.1421,0.3990,0.2095
chimanimani_s2_1264.h5,399,78,499,15408,0.4088,0.8365,0.4443,0.5804
chimanimani_s2_1264.h5,201,276,299,15608,0.2590,0.4214,0.4020,0.4115
chimanimani_s2_1223.h5,0,573,0,15811,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_126.h5,110,59,510,15705,0.1620,0.6509,0.1774,0.2788
chimanimani_s2_1264.h5,42,1,566,15775,0.0690,0.9767,0.0691,0.1290
chimanimani_s2_1223.h5,102,0,562,15720,0.1536,1.0000,0.1536,0.2663
chimanimani_s2_1222.h5,22,1,554,15807,0.0381,0.9565,0.0382,0.0735
chimanimani_s2_126.h5,45,178,376,15785,0.0751,0.2018,0.1069,0.1398
chimanimani_s2_1295.h5,0,0,552,15832,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,57,396,155,15776,0.0937,0.1258,0.2689,0.1714
chimanimani_s2_1222.h5,188,161,389,15646,0.2547,0.5387,0.3258,0.4060
chimanimani_s2_1223.h5,322,458,91,15513,0.3697,0.4128,0.7797,0.5398
chimanimani_s2_1222.h5,172,465,83,15664,0.2389,0.2700,0.6745,0.3857
chimanimani_s2_1295.h5,0,200,347,15837,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,59,532,13,15780,0.0977,0.0998,0.8194,0.1780
chimanimani_s2_1019.h5,0,543,0,15841,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,17,470,67,15830,0.0307,0.0349,0.2024,0.0595
chimanimani_s2_1390.h5,33,0,537,15814,0.0579,1.0000,0.0579,0.1095
chimanimani_s2_1019.h5,284,110,421,15569,0.3485,0.7208,0.4028,0.5168
chimanimani_s2_1041.h5,0,527,0,15857,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1041.h5,13,0,527,15844,0.0241,1.0000,0.0241,0.0470
chimanimani_s2_1295.h5,262,313,213,15596,0.3325,0.4557,0.5516,0.4990
chimanimani_s2_1264.h5,205,446,77,15656,0.2816,0.3149,0.7270,0.4394
chimanimani_s2_1041.h5,12,104,419,15849,0.0224,0.1034,0.0278,0.0439
chimanimani_s2_1041.h5,53,72,451,15808,0.0920,0.4240,0.1052,0.1685
chimanimani_s2_1019.h5,9,171,350,15854,0.0170,0.0500,0.0251,0.0334
chimanimani_s2_1041.h5,52,336,185,15811,0.0908,0.1340,0.2194,0.1664
chimanimani_s2_1223.h5,326,15,506,15537,0.3849,0.9560,0.3918,0.5558
chimanimani_s2_1390.h5,0,455,65,15864,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_126.h5,102,278,239,15765,0.1648,0.2684,0.2991,0.2829
chimanimani_s2_1295.h5,0,422,94,15868,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1295.h5,0,470,45,15869,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,49,27,486,15822,0.0872,0.6447,0.0916,0.1604
chimanimani_s2_1295.h5,9,0,512,15863,0.0173,1.0000,0.0173,0.0340
chimanimani_s2_1019.h5,84,30,481,15789,0.1412,0.7368,0.1487,0.2474
chimanimani_s2_126.h5,39,318,192,15835,0.0710,0.1092,0.1688,0.1327
chimanimani_s2_126.h5,4,482,20,15878,0.0079,0.0082,0.1667,0.0157
chimanimani_s2_1264.h5,33,94,405,15852,0.0620,0.2598,0.0753,0.1168
chimanimani_s2_1222.h5,34,286,213,15851,0.0638,0.1062,0.1377,0.1199
chimanimani_s2_1223.h5,189,374,122,15699,0.2759,0.3357,0.6077,0.4325
chimanimani_s2_1264.h5,16,444,50,15874,0.0314,0.0348,0.2424,0.0608
chimanimani_s2_126.h5,0,493,0,15891,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,5,0,489,15890,0.0101,1.0000,0.0101,0.0200
chimanimani_s2_1264.h5,0,485,0,15899,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1295.h5,58,315,168,15843,0.1072,0.1555,0.2566,0.1937
chimanimani_s2_126.h5,16,452,30,15886,0.0321,0.0342,0.3478,0.0623
chimanimani_s2_1222.h5,0,480,0,15904,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,0,475,5,15904,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1295.h5,347,96,383,15558,0.4201,0.7833,0.4753,0.5916
chimanimani_s2_1222.h5,6,0,475,15903,0.0125,1.0000,0.0125,0.0246
chimanimani_s2_1390.h5,37,0,474,15873,0.0724,1.0000,0.0724,0.1350
chimanimani_s2_126.h5,156,169,304,15755,0.2480,0.4800,0.3391,0.3975
chimanimani_s2_1295.h5,63,0,469,15852,0.1184,1.0000,0.1184,0.2118
chimanimani_s2_1222.h5,0,449,18,15917,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,176,248,218,15742,0.2741,0.4151,0.4467,0.4303
chimanimani_s2_1019.h5,0,460,0,15924,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,68,0,459,15857,0.1290,1.0000,0.1290,0.2286
chimanimani_s2_1264.h5,0,458,0,15926,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,45,6,452,15881,0.0895,0.8824,0.0905,0.1642
chimanimani_s2_126.h5,21,0,455,15908,0.0441,1.0000,0.0441,0.0845
chimanimani_s2_1223.h5,24,23,431,15906,0.0502,0.5106,0.0527,0.0956
chimanimani_s2_1222.h5,53,138,316,15877,0.1045,0.2775,0.1436,0.1893
chimanimani_s2_1041.h5,7,345,108,15924,0.0152,0.0199,0.0609,0.0300
chimanimani_s2_1390.h5,40,29,424,15891,0.0811,0.5797,0.0862,0.1501
chimanimani_s2_1019.h5,69,5,447,15863,0.1324,0.9324,0.1337,0.2339
chimanimani_s2_1264.h5,0,442,5,15937,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1295.h5,0,0,446,15938,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1264.h5,9,1,444,15930,0.0198,0.9000,0.0199,0.0389
chimanimani_s2_1041.h5,0,437,7,15940,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1390.h5,0,440,0,15944,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1295.h5,73,373,64,15874,0.1431,0.1637,0.5328,0.2504
